Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
XRX,Xerox Corp,33.51,1.31,4.07%,32.35,33.52,32.06,4163300,03/02/2020
XYL,Xylem Inc,82.29,4.95,6.40%,77.95,82.42,77.5,2012000,03/02/2020
Y,Alleghany Corp,719.72,47.47,7.06%,675.81,722.75,675.81,122700,03/02/2020
YUM,Yum! Brands,92.53,3.28,3.68%,89.25,92.55,89.21,2408900,03/02/2020
YUMC,Yum China Holdings Inc,44.29,0.5,1.14%,43.85,44.29,43.01,3540700,03/02/2020
Z,Zillow Group Cl C,54.4,-1.41,-2.53%,55.84,56.29,51.97,3987100,03/02/2020
ZAYO,Zayo Group Holdings Inc,34.94,-0.05,-0.14%,34.94,34.96,34.92,8341400,03/02/2020
ZBH,Zimmer Biomet Holdings,139.25,3.1,2.28%,136.78,139.28,134.75,1712300,03/02/2020
ZBRA,Zebra Technologies,221.71,10.74,5.09%,212.67,221.87,210.34,603000,03/02/2020
ZEN,Zendesk Inc,78.47,-0.84,-1.06%,79.88,80.98,76.23,2828700,03/02/2020
ZG,Zillow Grp Inc Cl A,54.62,-1.05,-1.89%,55.71,56.13,52.07,1012200,03/02/2020
ZION,Zions Bancorp,41.3,1.35,3.38%,39.74,41.31,38.82,5006600,03/02/2020
ZNGA,Zynga Inc Cl A,6.97,0.26,3.87%,6.84,6.99,6.72,19379600,03/02/2020
ZS,Zscaler Inc,52.78,0.79,1.52%,52.81,53.17,50.91,1990100,03/02/2020
ZTS,Zoetis Inc Cl A,138.91,5.68,4.26%,133.84,139.17,133.06,2881600,03/02/2020
Downloaded from Barchart.com as of 03-03-2020 05:53am CST,,,,,,,,,
