Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
MASI,Masimo Corp,178.06,14.73,9.02%,165.8,178.43,165.45,553800,03/02/2020
MAT,Mattel Inc,11.96,0.17,1.44%,11.81,12.23,11.7,8155500,03/02/2020
MCD,McDonald's Corp,202.55,8.38,4.32%,193.81,202.55,193.18,6154100,03/02/2020
MCHP,Microchip Technology,95.22,4.51,4.97%,91.6,95.28,90.09,4625100,03/02/2020
MCK,Mckesson Corp,150.41,10.55,7.54%,141.57,150.49,139.25,11921000,03/02/2020
MCO,Moody's Corp,259.52,19.49,8.12%,245.91,259.78,242.62,1526200,03/02/2020
MCY,Mercury General Corp,45.5,2.19,5.06%,43.35,45.53,43.26,419200,03/02/2020
MD,Mednax Inc,17.42,0.33,1.93%,17.09,17.63,16.79,2748600,03/02/2020
MDB,Mongodb Inc Cl A,155.64,3.14,2.06%,152.5,155.87,146.12,1361000,03/02/2020
MDLA,Medallia Inc,25.2,0.39,1.57%,24.71,25.32,23.83,1406800,03/02/2020
MDLZ,Mondelez Intl Inc,55.6,2.8,5.30%,52.63,55.63,52.49,12252601,03/02/2020
MDT,Medtronic Inc,102.62,1.95,1.94%,101.63,102.88,99.5,8358100,03/02/2020
MDU,Mdu Res Group Inc,29.16,1.43,5.16%,27.92,29.2,27.78,3013000,03/02/2020
MET,Metlife Inc,44.56,1.84,4.31%,42.93,44.58,42.71,13068601,03/02/2020
MFA,MFA Financial Inc,7.6,0.37,5.12%,7.27,7.62,7.25,6305800,03/02/2020
MGM,MGM Resorts International,25.05,0.49,2.00%,24.6,25.06,23.26,15648000,03/02/2020
MHK,Mohawk Industries,120.86,-0.29,-0.24%,121.59,122.61,118.95,1222900,03/02/2020
MIC,Macquarie Infrastructure Company Trust,40.42,1.17,2.98%,39.5,40.61,39.08,1186600,03/02/2020
MIDD,Middleby Corp,111.99,0.18,0.16%,111.91,112.3,105.65,405200,03/02/2020
MKC,Mccormick & Company Inc,152.47,6.28,4.30%,146.81,152.58,145.82,1122700,03/02/2020
MKL,Markel Corp,1262.7,81.1,6.86%,1181.6,1262.7,1176.48,55900,03/02/2020
MKSI,Mks Instruments Inc,100.78,0.59,0.59%,100.68,100.97,95.43,652000,03/02/2020
MKTX,Marketaxess Holdings,348.62,24.29,7.49%,324.92,349.93,321.3,386200,03/02/2020
MLM,Martin Marietta Materials,236.9,9.37,4.12%,228.05,237.15,227.67,891300,03/02/2020
MMC,Marsh & Mclennan Companies,108.01,3.45,3.30%,104.18,108.08,104.1,4028700,03/02/2020
MMM,3M Company,153.02,3.78,2.53%,151.34,153.43,148.37,8026200,03/02/2020
MNST,Monster Beverage Cp,64.77,2.36,3.78%,62.12,64.84,61.28,4547300,03/02/2020
MO,Altria Group,42.07,1.7,4.21%,40.46,42.08,40.06,14559900,03/02/2020
MOH,Molina Healthcare Inc,127.32,4.77,3.89%,123.48,127.63,119.92,850900,03/02/2020
MORN,Morningstar Inc,149.44,2.54,1.73%,148.05,149.55,144.76,127300,03/02/2020
MOS,Mosaic Company,17.66,0.63,3.70%,17.15,17.66,16.9,6259700,03/02/2020
MPC,Marathon Petroleum Corp,47.73,0.31,0.65%,47.89,48.21,45.69,11884601,03/02/2020
MPW,Medical Properties Trust,22.28,1.15,5.44%,21.36,22.28,21.06,6574300,03/02/2020
